Comment,Designator,Footprint,LCSC Part Number,Quantity
100nF,C77,0402,C162178,1
"PMEG6020ETP,115",D3 D4,D_SOD-128,C179434,2
LED,D30 D31,0603,C2286,1
357k,R5 R19,0402,C27005,2
"PMEG3005EL,315",D25 D26 D27 D28,D_SOD-882,C282565,4
10k,R33 R36 R48 R49,0402,C2906861,4
USB_C_Plug_USB2.0,P1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C3025063,1
100uF,C14,CP_Elec_10x12.6,C3274502,1
BZX58550-C5V1X,D1 D2,D_SOD-523,C3736541,2
2.2uH,L1,IND-SMD_L7.5-W7.2-1,C5125746,1
0,R10,0402,C60485,1
