LCSC Part #,Action,Rev1 Qty,Rev2 Qty,Delta,Value,Footprint,Refs Added,Refs Removed,Rev2 Refs
C105871,SAME,9,9,0,4.7k 1%,0402,,,R31 R32 R34 R35 R41 R50 R56 R72 R84
C106235,SAME,8,8,0,1k,0402,R81,R96,R65 R66 R68 R70 R77 R79 R81 R95
C11626,SAME,1,1,0,54.9k 1%,0402,,,R93
C1235412,SAME,1,1,0,STM32G474CEUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,,,U2
C132158,SAME,1,1,0,FT234XD,WDFN-12-1EP_3x3mm_P0.45mm_EP1.7x2.5mm,,,U12
C137983,REMOVED (leftover),1,0,-1,40k,Resistor_SMD:R_0402_1005Metric,,R19,
C138003,SAME,4,4,0,33k 1%,0402,,,R25 R29 R80 R82
C138021,SAME,4,4,0,27R 1%,0402,,,R42 R52 R54 R55
C140270,SAME,1,1,0,LM2765,sot236_p95_290x160x110_n,,,U5
C1523,SAME,4,4,0,1nF,0402,,,C1 C25 C79 C80
C155367,SAME,1,1,0,B0520LW-7-F,sod-123_270x155135_n,,,D12
C15725,SAME,15,15,0,100n X7R 100V,0603,,,C33 C35 C37 C39 C45 C49 C50 C52 C53 C54 C55 C63 C64 C85 C90
C162178,INCREASE (order delta),26,27,1,100nF,0402,C77,,C2 C6 C10 C11 C12 C13 C17 C18 C19 C20 C23 C24 C29 C65 C67 C68 C69 C71 C72 C73 C74 C77 C78 C81 C82 C83 C84
C1653,SAME,2,2,0,22pF,0603,,,C75 C76
C179434,NEW (order full qty),0,2,2,"PMEG6020ETP,115",D_SOD-128,D3 D4,,D3 D4
C1869321,REMOVED (leftover),1,0,-1,D3V3F4U6S-7,Altium_port:sot363_sc88_65p_200x125x110_n,,D11,
C19077554,SAME,2,2,0,SMAJ58A,D_SMA,,,D16 D17
C22359236,SAME,2,2,0,HUASHUO HSBB0115,PRPAK-8_L3.0-W3.0-P0.65-BL-EP,,,Q5 Q12
C22367838,SAME,1,1,0,2.2u X7R 100V,0805,,,C51
C22463848,REMOVED (leftover),1,0,-1,1uH,thommys-parts2:IND-SMD_SL1265-101M,,L1,
C2286,INCREASE (order delta),7,8,1,LED,0603,D30 D31,D25,D18 D19 D20 D21 D22 D24 D30 D31
C235757,SAME,2,2,0,MBR1H100SFT3G,sod-123fl_305p_260x160x90_n,,,D14 D23
C23733,SAME,1,1,0,4.7uF,0402,,,C5
C23829972,SAME,3,3,0,1uF,0603,,,C21 C22 C26
C25077,SAME,5,5,0,10,0402,,,R16 R17 R23 R24 R78
C25104,SAME,2,2,0,330R 1%,0402,,,R45 R58
C25118,SAME,2,2,0,47,0402,,,R14 R15
C25148,SAME,1,1,0,0,0402,,,R12
C25165,SAME,2,2,0,3.3,0402,,,R22 R57
C25762,SAME,1,1,0,18k,0402,,,R2
C25798,SAME,1,1,0,75k,0402,,,R4
C2682775,SAME,1,1,0,8M,Crystal_SMD_3225-4Pin_3.2x2.5mm,,,Y1
C26984,SAME,1,1,0,64.9k,0402,,,R8
C27005,INCREASE (order delta),2,4,2,357k,0402,R5 R19,,R5 R7 R19 R59
C282565,NEW (order full qty),0,4,4,"PMEG3005EL,315",D_SOD-882,D25 D26 D27 D28,,D25 D26 D27 D28
C2857090,SAME,2,2,0,BZT52C18SQ,sod-323_230p_170x125x100_n,,,D8 D9
C2887910,SAME,1,1,0,INA228AIDGSR,vssop10_50p_300x300x110_mfg,,,U9
C2906861,INCREASE (order delta),24,28,4,10k,0402,R33 R36 R48 R49,,R20 R21 R30 R33 R36 R48 R49 R53 R61 R62 R63 R64 R67 R69 R71 R74 R75 R76 R87 R88 R89 R90 R91 R92 R94 R97 R99 R100
C296710,SAME,2,2,0,220p X7R 50V,0402,,,C40 C42
C2977282,REMOVED (leftover),1,0,-1,DX07S024JJ2R1300,Altium_port:DX07S024JJ2R1300,,J1,
C30010,SAME,4,4,0,AO3404A,sot-23-3L_103p_300x130x110_n,,,Q8 Q9 Q11 Q13
C3025063,NEW (order full qty),0,1,1,USB_C_Plug_USB2.0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,P1,,P1
C3040689,SAME,1,1,0,XT-90-M,CONN-TH_XT90PW-M.G.Y,,,J3
C3040690,SAME,1,1,0,XT90-F,CONN-TH_XT90PW-M,,,J6
C318884,SAME,3,3,0,"Tactile Button, 160gf",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,,,S1 S2 S3
C3274502,INCREASE (order delta),1,2,1,100uF,CP_Elec_10x12.6,C14,,C7 C14
C36777,DECREASE (leftover),3,2,-1,124k,0402,,R5,R85 R86
C370970,SAME,1,1,0,EC11E15244G1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,,,SW1
C3736541,NEW (order full qty),0,2,2,BZX58550-C5V1X,D_SOD-523,D1 D2,,D1 D2
C41376401,SAME,1,1,0,SMAJ48A,do-214ac_440p_430x250x230_n_p,,,D7
C42166327,SAME,1,1,0,TPS26750SRSMR,qfn32_40p_400x400x100_tp_280x280_mfg,,,U4
C42237120,REMOVED (leftover),2,0,-2,"PMEG6020EPA,115",thommys-parts2:DFN2020-3_L2.0-W2.0-P0.65-BR-1,,D3 D4,
C43131250,SAME,1,1,0,TPD4S480RUKR,wqfn20_40p_300x300x80_tp_170x170_n,,,U3
C437568,SAME,10,10,0,10u X7R 63V,1210,,,C38 C41 C43 C44 C59 C60 C61 C91 C92 C93
C460522,SAME,1,1,0,74LVC1G08SE-7,sot353_65p_200x125x110_mo-203-aa_n,,,U7
C46634461,SAME,1,1,0,8mR,2512,,,R60
C46635910,SAME,2,2,0,0.002,1206,,,R9 R18
C48543473,SAME,8,8,0,TBD,1210,,,FB1 FB2 FB3 FB4 FB5 FB6 FB7 FB8
C49269483,SAME,1,1,0,20A,2512,,,F1
C5125746,NEW (order full qty),0,1,1,2.2uH,IND-SMD_L7.5-W7.2-1,L1,,L1
C5156756,DECREASE (leftover),7,6,-1,10uF,1210,,C77,C8 C9 C16 C28 C66 C70
C527014,SAME,3,3,0,10n X7R 100V,0402,,,C30 C32 C36
C5344742,DECREASE (leftover),3,2,-1,APTD1608LQBC/D,kingbright_0603_blue,,D15,D10 D13
C5349119,SAME,1,1,0,AGM612AP,vsonp8_65p_330x330x80_mfg,,,Q6
C5360803,SAME,3,3,0,3.3u X5R 25V,0603,,,C46 C47 C48
C5370002,SAME,8,8,0,1u X7R 100V,0805,,,C31 C56 C57 C58 C62 C86 C87 C88
C56096,SAME,1,1,0,CAT24C512YI-GT3,JEDEC_MO-153_AA,,,U6
C60485,INCREASE (order delta),2,3,1,0,0402,R10,,R10 R11 R13
C60491,SAME,12,12,0,100k,0402,,,R6 R26 R27 R28 R37 R38 R39 R40 R43 R44 R46 R47
C64171,SAME,1,1,0,147k 1%,0402,,,R1
C673800,SAME,1,1,0,LT8390AIUFD-PBF,UFD_28_ADI,,,U1
C690106,SAME,1,1,0,LTC7004x,msop_10p_300x490x110_tp168x188_n,,,U8
C710392,SAME,1,1,0,BLM18SN220TH1D,fer_1608_09_n,,,FB9
C727731,SAME,1,1,0,SQJB90EP-T1_GE3,PowerPAKSO-8_127p_513x615x120_n,,,Q10
C7393859,SAME,1,1,0,470nF,0402,,,C4
C7502692,SAME,2,2,0,BAT46WS,D_SOD-323,,,D5 D6
C77131,SAME,2,2,0,10k @25°C,0402,,,R51 R73
C7836,SAME,1,1,0,SN74LVC1G17DBVR,sot25_95p_300x280x145_jedec_mo-178-aa_n,,,U10
C83472,SAME,2,2,0,22uH 1A 0.29Ohm,SWPA4030S220MT,,,L2 L3
C87080,SAME,2,2,0,LMR16006XDDCR,sot6_p95_290x180x110_n,,,U11 U13
C913445,SAME,1,1,0,4.7u,1210,,,C34
