Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C25, C79, C80",0402,4,1nF,C1523
"C10, C11, C12, C13, C17, C18, C19, C2, C20, C23, C24, C29, C6, C65, C67, C68, C69, C71, C72, C73, C74, C77, C78, C81, C82, C83, C84",0402,27,100nF,C162178
"C14, C7",CP_Elec_10x12.6,2,100uF,C3274502
"C16, C28, C66, C70, C8, C9",1210,6,10uF,C5156756
"C21, C22, C26",0603,3,1uF,C23829972
"C30, C32, C36",0402,3,10n X7R 100V,C527014
"C31, C56, C57, C58, C62, C86, C87, C88",0805,8,1u X7R 100V,C5370002
"C33, C35, C37, C39, C45, C49, C50, C52, C53, C54, C55, C63, C64, C85, C90",0603,15,100n X7R 100V,C15725
C34,1210,1,4.7u,C913445
"C38, C41, C43, C44, C59, C60, C61, C91, C92, C93",1210,10,10u X7R 63V,C437568
C4,0402,1,470nF,C7393859
"C40, C42",0402,2,220p X7R 50V,C296710
"C46, C47, C48",0603,3,3.3u X5R 25V,C5360803
C5,0402,1,4.7uF,C23733
C51,0805,1,2.2u X7R 100V,C22367838
"C75, C76",0603,2,22pF,C1653
"D1, D2",D_SOD-523,2,BZX58550-C5V1X,C3736541
"D10, D13",kingbright_0603_blue,2,APTD1608LQBC/D,C5344742
D12,sod-123_270x155135_n,1,B0520LW-7-F,C155367
"D14, D23",sod-123fl_305p_260x160x90_n,2,MBR1H100SFT3G,C235757
"D16, D17",D_SMA,2,SMAJ58A,C19077554
"D18, D19, D20, D21, D22, D24, D30, D31",0603,8,LED,C2286
"D25, D26, D27, D28",D_SOD-882,4,"PMEG3005EL,315",C282565
"D3, D4",D_SOD-128,2,"PMEG6020ETP,115",C179434
"D5, D6",D_SOD-323,2,BAT46WS,C7502692
D7,do-214ac_440p_430x250x230_n_p,1,SMAJ48A,C41376401
"D8, D9",sod-323_230p_170x125x100_n,2,BZT52C18SQ,C2857090
F1,2512,1,20A,C49269483
"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8",1210,8,TBD,C48543473
FB9,fer_1608_09_n,1,BLM18SN220TH1D,C710392
J3,CONN-TH_XT90PW-M.G.Y,1,XT-90-M,C3040689
J6,CONN-TH_XT90PW-M,1,XT90-F,C3040690
JP14,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
JP15,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
L1,IND-SMD_L7.5-W7.2-1,1,2.2uH,C5125746
"L2, L3",SWPA4030S220MT,2,22uH 1A 0.29Ohm,C83472
P1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Plug_USB2.0,C3025063
"Q1, Q2, Q3, Q4",D1068,4,EPC2367,
Q10,PowerPAKSO-8_127p_513x615x120_n,1,SQJB90EP-T1_GE3,C727731
"Q11, Q13, Q8, Q9",sot-23-3L_103p_300x130x110_n,4,AO3404A,C30010
"Q12, Q5",PRPAK-8_L3.0-W3.0-P0.65-BL-EP,2,HUASHUO HSBB0115,C22359236
Q6,vsonp8_65p_330x330x80_mfg,1,AGM612AP,C5349119
R1,0402,1,147k 1%,C64171
"R10, R11, R13",0402,3,0,C60485
"R100, R20, R21, R30, R33, R36, R48, R49, R53, R61, R62, R63, R64, R67, R69, R71, R74, R75, R76, R87, R88, R89, R90, R91, R92, R94, R97, R99",0402,28,10k,C2906861
R12,0402,1,0,C25148
"R14, R15",0402,2,47,C25118
"R16, R17, R23, R24, R78",0402,5,10,C25077
"R18, R9",1206,2,0.002,C46635910
"R19, R5, R59, R7",0402,4,357k,C27005
R2,0402,1,18k,C25762
"R22, R57",0402,2,3.3,C25165
"R25, R29, R80, R82",0402,4,33k 1%,C138003
"R26, R27, R28, R37, R38, R39, R40, R43, R44, R46, R47, R6",0402,12,100k,C60491
R3,0402,1,100k,
"R31, R32, R34, R35, R41, R50, R56, R72, R84",0402,9,4.7k 1%,C105871
R4,0402,1,75k,C25798
"R42, R52, R54, R55",0402,4,27R 1%,C138021
"R45, R58",0402,2,330R 1%,C25104
"R51, R73",0402,2,10k @25°C,C77131
R60,2512,1,8mR,C46634461
"R65, R66, R68, R70, R77, R79, R81, R95",0402,8,1k,C106235
R8,0402,1,64.9k,C26984
"R85, R86",0402,2,124k,C36777
R93,0402,1,54.9k 1%,C11626
"S1, S2, S3",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,3,"Tactile Button, 160gf",C318884
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,EC11E15244G1,C370970
U1,UFD_28_ADI,1,LT8390AIUFD-PBF,C673800
U10,sot25_95p_300x280x145_jedec_mo-178-aa_n,1,SN74LVC1G17DBVR,C7836
"U11, U13",sot6_p95_290x180x110_n,2,LMR16006XDDCR,C87080
U12,WDFN-12-1EP_3x3mm_P0.45mm_EP1.7x2.5mm,1,FT234XD,C132158
U2,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32G474CEUx,C1235412
U3,wqfn20_40p_300x300x80_tp_170x170_n,1,TPD4S480RUKR,C43131250
U4,qfn32_40p_400x400x100_tp_280x280_mfg,1,TPS26750SRSMR,C42166327
U5,sot236_p95_290x160x110_n,1,LM2765,C140270
U6,JEDEC_MO-153_AA,1,CAT24C512YI-GT3,C56096
U7,sot353_65p_200x125x110_mo-203-aa_n,1,74LVC1G08SE-7,C460522
U8,msop_10p_300x490x110_tp168x188_n,1,LTC7004x,C690106
U9,vssop10_50p_300x300x110_mfg,1,INA228AIDGSR,C2887910
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8M,C2682775
