Designator,Mid X,Mid Y,Rotation,Layer
C1,105.432698,-103.6007,0.0,top
C10,85.17,-91.9095,180.0,top
C11,85.17,-95.0095,180.0,top
C12,85.17,-94.0095,180.0,top
C13,85.17,-92.95,180.0,top
C14,112.0648,-72.8472,270.0,top
C16,118.65,-82.15,0.0,top
C17,112.26,-92.03,0.0,top
C18,112.26,-93.13,0.0,top
C19,112.26,-94.3,0.0,top
C2,103.591099,-104.7031,0.0,top
C20,112.26,-95.43,0.0,top
C21,103.825,-98.586,0.0,top
C22,94.275,-100.125,180.0,top
C23,96.5695,-94.1429,180.0,top
C24,101.4095,-94.2429,0.0,top
C25,84.26,-81.72,90.0,top
C26,115.225,-93.515,0.0,top
C28,120.8,-86.3,90.0,top
C29,126.02,-100.1,180.0,top
C30,52.675,-104.72,270.0,top
C31,53.6,-117.05,270.0,top
C32,53.775,-104.72,270.0,top
C33,46.7,-113.15,90.0,top
C34,50.275,-105.6,270.0,top
C35,48.275,-110.25,180.0,top
C36,58.48,-113.8,180.0,top
C37,51.8,-110.25,0.0,top
C38,67.6,-119.25,270.0,top
C39,61.0,-112.44999,90.0,top
C4,94.22,-105.936,270.0,top
C40,61.5,-110.42499,180.0,top
C41,64.3,-119.25,270.0,top
C42,61.5,-109.32499,180.0,top
C43,61.0,-119.25,270.0,top
C44,57.7,-119.25,270.0,top
C45,92.967501,-117.525,0.0,top
C46,86.25,-116.25,0.0,top
C47,89.3,-113.0,270.0,top
C48,86.5,-109.8,0.0,top
C49,83.19174,-100.95,0.0,top
C5,100.0695,-105.936,90.0,top
C50,78.41,-115.8,90.0,top
C51,80.15,-105.65,270.0,top
C52,84.025,-97.95,0.0,top
C53,121.15,-113.1,0.0,top
C54,70.525,-84.3,180.0,top
C55,54.11,-76.120558,270.0,top
C56,43.41,-73.345558,90.0,top
C57,45.51,-73.345558,90.0,top
C58,47.62,-73.345558,90.0,top
C59,57.51,-71.070558,0.0,top
C6,75.525,-86.2,0.0,top
C60,57.51,-74.420558,0.0,top
C61,57.485,-77.720558,0.0,top
C62,51.66,-71.195558,0.0,top
C63,68.425,-82.6,180.0,top
C64,77.75,-79.55001,90.0,top
C65,109.43348,-108.0,135.0,top
C66,116.725,-119.8,0.0,top
C67,108.64152,-108.763676,135.0,top
C68,118.0875,-117.6,0.0,top
C69,118.9875,-110.275,0.0,top
C7,69.2404,-71.95,0.0,top
C70,112.025,-119.8,180.0,top
C71,99.375,-118.0325,0.0,top
C72,99.375,-116.9325,0.0,top
C73,99.505,-109.8,0.0,top
C74,99.505,-110.9,0.0,top
C75,105.1375,-109.55,0.0,top
C76,104.9375,-115.45,180.0,top
C77,107.9246,-120.0658,270.0,top
C78,135.9,-77.98,270.0,top
C79,141.968,-105.22,90.0,top
C8,80.8482,-85.4456,90.0,top
C80,140.7,-105.22,90.0,top
C81,128.2,-118.1,180.0,top
C82,136.7,-70.79,90.0,top
C83,152.7,-105.695,0.0,top
C84,126.83,-105.8,0.0,top
C85,120.825,-105.65,90.0,top
C86,120.0102,-67.6656,90.0,top
C87,122.0852,-67.6656,90.0,top
C88,124.1552,-67.6656,90.0,top
C9,80.8228,-90.9066,270.0,top
C90,125.825,-72.955555,270.0,top
C91,129.25,-68.805555,0.0,top
C92,129.25,-72.130555,0.0,top
C93,129.25,-75.455555,0.0,top
D1,96.6695,-92.8429,180.0,top
D10,37.6,-103.7,0.0,top
D12,83.55,-113.2,270.0,top
D13,77.025,-120.7,0.0,top
D14,47.31,-77.345558,270.0,top
D16,66.175,-91.825,90.0,top
D17,130.2,-79.45,0.0,top
D18,37.7125,-80.4,180.0,top
D19,56.2,-107.215,0.0,top
D2,101.4695,-92.8429,0.0,top
D20,121.75,-101.7,0.0,top
D21,152.95,-80.2,0.0,top
D22,61.26,-73.458058,90.0,top
D23,118.7865,-74.330555,270.0,top
D24,133.075,-71.650555,270.0,top
D25,97.3328,-95.4024,90.0,top
D26,95.4786,-96.6724,180.0,top
D27,102.616,-96.266,0.0,top
D28,100.7872,-95.504,90.0,top
D3,110.1598,-97.1296,180.0,top
D30,104.14,-118.0846,0.0,top
D31,94.7122,-112.6812,0.0,top
D4,85.725,-84.6328,180.0,top
D5,94.4405,-91.0,180.0,top
D6,102.8905,-91.0,0.0,top
D7,47.075,-106.25,270.0,top
D8,54.8,-110.95,90.0,top
D9,56.6,-110.95,90.0,top
F1,66.975,-100.375,0.0,top
FB1,76.425,-88.6,0.0,top
FB2,76.425,-91.9,0.0,top
FB3,76.425,-95.2,0.0,top
FB4,76.425,-98.51,0.0,top
FB5,125.2,-97.4,0.0,top
FB6,125.2,-87.5,0.0,top
FB7,125.2,-90.79,0.0,top
FB8,125.2,-94.1,0.0,top
FB9,55.875,-103.9,0.0,top
H1,39.75,-118.32,0.0,top
H2,39.64,-69.09,0.0,top
H3,151.84,-69.23,0.0,top
H4,151.86,-118.46,0.0,top
J3,134.7375,-92.175,270.0,top
J6,56.285,-92.1,90.0,top
JP1,108.8,-101.35,270.0,bottom
JP10,89.667501,-117.0,180.0,top
JP11,70.665,-106.485,90.0,bottom
JP13,46.66,-71.120558,180.0,bottom
JP14,85.217,-113.8936,270.0,bottom
JP15,93.9292,-102.7938,180.0,bottom
JP16,45.5376,-75.2348,0.0,bottom
JP2,58.4,-111.27499,180.0,bottom
JP3,54.8,-111.75,180.0,bottom
JP4,70.485,-112.649,0.0,bottom
JP6,70.4088,-110.1344,0.0,bottom
JP8,102.7684,-120.4214,0.0,top
JP9,99.299,-120.4214,0.0,top
L1,98.85,-83.1,0.0,top
L2,50.91,-78.420558,270.0,top
L3,122.625,-75.530555,270.0,top
NT1,121.100001,-114.15,0.0,top
NT2,119.525,-105.349999,90.0,top
P1,39.8166,-109.5248,270.0,top
Q1,88.7845,-93.55928,180.0,top
Q10,75.03286,-102.965,90.0,top
Q11,71.6,-119.8,0.0,top
Q12,120.6,-94.7,270.0,top
Q13,90.65,-106.85,90.0,top
Q2,89.7845,-88.93575,180.0,top
Q3,108.085,-88.78853,0.0,top
Q4,109.1,-93.44378,0.0,top
Q5,120.6,-90.7,270.0,top
Q6,63.325,-105.095,90.0,top
Q8,76.15,-109.85,270.0,top
Q9,79.55,-109.85,90.0,top
R1,103.9695,-100.776,0.0,top
R10,95.591099,-97.79,180.0,top
R100,72.375,-113.7666,0.0,top
R11,98.491099,-95.36,90.0,top
R12,99.691099,-95.36,90.0,top
R13,102.591099,-97.3031,0.0,top
R14,85.91,-82.4,0.0,top
R15,85.91,-81.15,0.0,top
R16,114.675,-91.715,90.0,top
R17,115.775,-91.715,90.0,top
R18,116.8,-86.3,270.0,top
R19,105.6695,-100.476,270.0,top
R2,103.491099,-103.6031,0.0,top
R20,106.1695,-102.076,0.0,top
R21,116.5,-96.3,270.0,top
R22,115.4,-96.3,90.0,top
R23,99.96,-90.785,180.0,top
R24,97.66,-90.75,0.0,top
R25,58.5,-112.6,180.0,top
R26,44.025,-103.7,180.0,top
R27,42.05,-103.725,180.0,top
R28,80.625,-101.925,0.0,top
R29,40.11,-103.7,180.0,top
R3,103.6,-105.7955,180.0,top
R30,40.29,-80.35,180.0,top
R31,72.3138,-117.1194,180.0,top
R32,72.3138,-116.0272,180.0,top
R33,106.8695,-120.0912,90.0,top
R34,72.517,-111.7346,180.0,top
R35,73.95,-113.9,90.0,top
R36,107.7468,-103.1748,270.0,top
R37,76.15,-113.425,180.0,top
R38,81.75,-110.175,270.0,top
R39,79.475,-112.525,0.0,top
R4,95.4175,-105.936,270.0,top
R40,80.625,-103.05,0.0,top
R41,75.82,-118.55,270.0,top
R42,80.59174,-100.75,180.0,top
R43,49.335,-71.195558,90.0,top
R44,80.375,-98.225,0.0,top
R45,74.6,-120.72,180.0,top
R46,80.375,-99.275,180.0,top
R47,82.69,-99.3,180.0,top
R48,96.6216,-107.8738,90.0,top
R49,108.9406,-120.0912,90.0,top
R5,96.625,-105.936,270.0,top
R50,70.575,-103.0,180.0,top
R51,68.5,-103.0,180.0,top
R52,71.22,-86.4,90.0,top
R53,144.534,-105.22,270.0,top
R54,70.02,-86.4,90.0,top
R55,75.55,-78.1,0.0,top
R56,75.0,-83.50001,0.0,top
R57,117.875,-96.35,270.0,top
R58,101.7,-118.0375,180.0,top
R59,111.3875,-107.85,180.0,top
R6,101.267,-105.936,90.0,top
R60,71.125,-94.4125,90.0,top
R61,138.134,-105.22,270.0,top
R62,143.246,-105.22,90.0,top
R63,139.422,-105.22,90.0,top
R64,128.21,-116.8,0.0,top
R65,128.2,-119.4,180.0,top
R66,135.6,-70.79,90.0,top
R67,136.7,-72.79,90.0,top
R68,152.7,-104.6,0.0,top
R69,150.7,-105.695,0.0,top
R7,90.9695,-100.146,270.0,top
R70,126.83,-104.7,0.0,top
R71,124.83,-105.8,0.0,top
R72,88.825,-97.5,180.0,top
R73,86.835,-97.5,180.0,top
R74,53.545,-107.22,0.0,top
R75,119.155,-101.675,0.0,top
R76,150.3375,-80.2,0.0,top
R77,61.235,-76.053058,90.0,top
R78,121.025,-111.275,0.0,top
R79,88.25,-107.55,90.0,top
R8,90.9695,-102.136,270.0,top
R80,54.51,-73.470558,90.0,top
R81,94.742,-111.2266,180.0,top
R82,46.99,-69.895558,180.0,top
R84,45.0,-69.895558,180.0,top
R85,117.15,-99.945,270.0,top
R86,117.15,-102.05,270.0,top
R87,117.15,-104.25,90.0,top
R88,148.45,-78.35,90.0,top
R89,149.525,-78.35,90.0,top
R9,88.7,-80.9752,90.0,top
R90,51.525,-118.575,270.0,top
R91,76.925,-118.55,90.0,top
R92,125.825,-68.305555,270.0,top
R93,125.825,-70.285555,90.0,top
R94,54.51,-71.345558,270.0,top
R95,133.055,-68.995555,270.0,top
R97,84.6,-99.325,180.0,top
R99,72.3138,-114.9096,0.0,top
S1,141.7,-71.7,0.0,top
S2,151.7,-110.9,270.0,top
S3,125.7,-110.9,270.0,top
SW1,138.1,-113.5,180.0,top
TP10,117.675,-118.475,180.0,bottom
TP11,69.71,-120.44,0.0,bottom
TP12,50.72,-117.2,0.0,bottom
TP13,97.45,-109.125,180.0,bottom
TP14,65.23,-108.68,0.0,bottom
TP15,117.01,-113.18,0.0,bottom
TP16,89.84,-118.27,0.0,bottom
TP17,78.89,-110.24,0.0,bottom
TP18,91.89,-113.54,0.0,bottom
TP19,80.57,-108.6,0.0,bottom
TP20,113.425,-109.525,0.0,bottom
TP21,73.75,-120.1,0.0,bottom
TP22,67.61,-118.38,0.0,bottom
TP23,114.95,-112.125,0.0,bottom
TP24,64.33,-119.53,0.0,bottom
TP25,79.3,-101.84,0.0,bottom
TP26,83.91,-111.49,0.0,bottom
TP27,82.025,-97.825,270.0,bottom
TP28,75.3,-106.35,270.0,bottom
TP29,84.73,-109.47,270.0,bottom
TP30,73.18,-86.19,270.0,bottom
TP31,110.7,-114.55,0.0,bottom
TP32,98.9674,-93.227,0.0,top
TP33,94.2594,-102.8954,0.0,top
TP34,94.2594,-88.392,0.0,top
TP35,102.9462,-88.4936,0.0,top
TP65,52.635,-76.920558,0.0,bottom
TP66,129.375,-68.6054,0.0,bottom
TP67,43.01,-79.5782,270.0,bottom
TP68,41.1734,-78.4098,270.0,bottom
TP69,120.7262,-70.0786,0.0,bottom
TP70,129.325,-72.0054,0.0,bottom
TP9,47.35,-105.3,0.0,bottom
U1,99.119499,-100.2881,0.0,top
U10,75.1,-80.80001,270.0,top
U11,51.21,-74.195558,180.0,top
U12,98.8,-114.1575,90.0,top
U13,122.95,-71.030555,180.0,top
U2,113.5875,-112.8,90.0,top
U3,50.2,-114.25,0.0,top
U4,65.3,-113.29999,90.0,top
U5,86.6,-113.2,90.0,top
U6,89.867501,-120.2,0.0,top
U7,76.35,-115.8,270.0,top
U8,84.74174,-104.55,180.0,top
U9,68.675,-79.75,0.0,top
Y1,104.9875,-112.45,270.0,top
